ID,Date,Video Type,tag_map,partido_map,match_map,content_type_map,Impressions,Likes,Comments,Shares,Video Views,Interactions,Avg_percentage_viewed,Watch_time_hours,Ingresos
******3zCOY,28-06-2024,Short,tag_4,partido37,match17,content10,55389,113,2,3,5744,118,0.6655,36.1037,0
******pr3H8,28-06-2024,Short,tag_4,partido37,match17,content10,42424,160,11,5,6780,176,0.4556,48.0499,0
******QRNzU,28-06-2024,Video,tag_4,partido37,match17,content10,52321,38,2,9,3522,49,0.5863,50.4737,0
******z191o,28-06-2024,Video,tag_4,partido37,match17,content10,342558,240,35,62,38109,337,0.5795,1637.7632,150.579
******b7-Yw,28-06-2024,Short,tag_4,partido37,match17,content10,21202,60,0,0,2023,60,0.3841,9.929,0
******T09Ps,28-06-2024,Short,tag_4,partido114,match17,content10,27618,117,6,3,7071,126,0.7279,37.1743,0
******XMz7A,28-06-2024,Short,tag_4,partido184,match17,content10,50608,109,1,1,5458,111,0.5514,32.6053,0
******LiCIk,28-06-2024,Video,tag_4,partido184,match17,content10,59982,57,5,15,5104,77,0.5704,71.9707,0
******mK5RE,28-06-2024,Video,tag_4,partido184,match17,content10,58286,29,2,6,3266,37,0.4996,43.0593,0
******FB1wM,28-06-2024,Video,tag_4,partido184,match17,content10,54383,45,2,5,4444,52,0.6109,45.2442,0
******Ym50E,28-06-2024,Video,tag_4,partido184,match17,content10,46911,34,3,9,3756,46,0.6087,47.6326,0
******Bs6u4,28-06-2024,Short,tag_4,partido184,match17,content10,27193,70,1,0,3366,71,0.4532,18.6449,0
******xCYdg,28-06-2024,Short,tag_4,partido184,match17,content10,21339,87,2,0,3628,89,0.4777,21.6654,0
******iWpQc,28-06-2024,Video,tag_4,partido184,match17,content10,62040,50,1,7,5610,58,0.5469,75.8569,0
******JCk44,28-06-2024,Short,tag_4,partido184,match17,content10,44451,85,1,0,4174,86,0.6157,21.4177,0
******Ehlus,28-06-2024,Short,tag_4,partido184,match17,content10,40910,102,0,1,5574,103,0.675,27.172,0
******K1xlU,28-06-2024,Video,tag_4,partido37,match17,content11,474289,393,47,45,55939,485,0.5632,2756.8379,258.402
******ScIRU,28-06-2024,Video,tag_4,partido184,match17,content11,369110,236,34,16,45546,286,0.4612,2334.151,192.091
******JQIqE,28-06-2024,Video,tag_4,partido37,match17,content14,42165,24,0,3,3057,27,0.6,24.9643,0
******F1gsU,28-06-2024,Video,tag_4,partido184,match17,content14,39415,17,1,1,3358,19,0.6436,28.815,0
******WTbA8,28-06-2024,Video,tag_4,partido184,match17,content14,39870,16,3,0,1871,19,0.5592,21.2161,0
******TdFHE,28-06-2024,Video,tag_4,partido89,match18,content15,854660,520,318,31,104081,869,0.5122,8959.5109,820.163
******lz_qg,28-06-2024,Video,tag_4,Ninguno,Ninguno,content15,413681,303,134,11,52305,448,0.3951,11860.7876,665.853
******ShWoc,28-06-2024,Video,tag_4,Ninguno,Ninguno,content15,105102,50,3,2,5086,55,0.1463,509.8606,0
******cX3Ns,28-06-2024,Video,tag_4,partido37,match17,content16,45045,51,2,3,2824,56,0.0554,91.331,0
******0fCoU,28-06-2024,Short,tag_4,partido189,match17,content22,16740,105,6,16,4452,127,0.4395,28.2647,0
******uJbiI,28-07-2024,Short,Ninguno,Ninguno,Ninguno,content2,82369,186,2,2,11759,190,66.63,84.8856,2.613
******NA2Nk,28-07-2024,Short,Ninguno,Ninguno,Ninguno,content5,11335,120,0,0,8806,120,69.76,52.896,1.959
******E3cEo,28-07-2024,Short,tag_1,partido15,Ninguno,content6,46586,161,10,4,9780,175,89.22,48.4742,2.175
******fkiTk,28-07-2024,Short,Ninguno,Ninguno,Ninguno,content6,40222,133,7,2,7959,142,68.46,77.187,1.787
******zVOt8,28-07-2024,Short,Ninguno,Ninguno,Ninguno,content6,19824,121,6,0,12509,127,67.80,70.6798,2.811
******lR74M,28-07-2024,Short,tag_1,partido32,match13,content10,81595,160,5,4,15107,169,67.62,70.9369,3.359
******Chkvo,28-07-2024,Short,tag_3,Ninguno,Ninguno,content10,142255,544,4,10,21485,558,60.94,185.4699,4.763
******euuKM,28-07-2024,Short,Ninguno,Ninguno,Ninguno,content14,28552,55,2,0,3471,57,58.43,30.4236,0.766
******JTG3Y,28-07-2024,Short,tag_10,Ninguno,Ninguno,content15,75665,252,11,7,4973,270,63.51,44.7417,1.097
******uYiDU,28-07-2024,Short,tag_1,partido33,Ninguno,content19,277827,1146,41,26,103942,"1,213",81.90,1135.0286,23.843
******8ImYo,28-08-2024,Short,Ninguno,Ninguno,Ninguno,content5,20750,56,0,1,2780,57,80.35,35.9899,0.79
******7bTGY,29-06-2024,Video,tag_2,partido72,match21,content2,31935,8,1,2,792,11,0.4892,5.9188,0
******vB4Tw,29-06-2024,Video,tag_2,partido72,match21,content2,26419,6,3,0,1163,9,0.6212,12.4418,0
******Gju10,29-06-2024,Short,tag_2,partido72,match21,content2,10688,28,1,0,1117,29,0.4903,3.6513,0
******ezGeE,29-06-2024,Short,tag_2,partido72,match21,content2,13145,18,0,0,1214,18,0.5025,9.3207,0
******PEn7Y,29-06-2024,Video,tag_2,partido72,match21,content2,56980,17,4,3,3254,24,0.6323,53.7235,0
******Q3Jok,29-06-2024,Short,tag_2,partido72,match21,content2,29775,48,0,0,2387,48,0.711,11.3138,0
******uK0jM,29-06-2024,Short,tag_4,partido115,match17,content2,14141,55,1,0,3181,56,0.3846,16.311,0
