ID,Date,Video Type,tag_map,partido_map,match_map,content_type_map,Impressions,Likes,Comments,Shares,Video Views,Interactions,Avg_percentage_viewed,Watch_time_hours,Ingresos
******5yuPE,02-07-2024,Video,tag_4,partido24,match18,content10,95504,75,11,19,8692,105,0.5977,151.5253,49.462
******BlmbY,02-07-2024,Video,tag_4,partido24,match18,content10,86292,52,5,5,7174,62,0.6225,124.0509,0
******VaJss,02-07-2024,Video,tag_4,partido24,match18,content10,86411,60,6,10,7699,76,0.589,120.9275,55.709
******4wZYI,02-07-2024,Video,tag_4,partido24,match18,content10,129439,53,5,2,11539,60,0.5023,318.7782,89.864
******GxWlY,02-07-2024,Video,tag_4,partido65,match18,content10,386828,231,150,137,52738,518,0.6237,2037.418,535.792
******faEPg,02-07-2024,Short,tag_4,partido65,match18,content10,53448,227,16,5,10808,248,0.7082,99.9346,0
******UUXXw,02-07-2024,Short,tag_2,partido140,match21,content10,31489,85,0,1,5656,86,0.398,35.6387,0
******flyEM,02-07-2024,Video,tag_2,partido140,match21,content10,75598,102,4,6,8419,112,0.5812,129.1149,68.034
******6j-3k,02-07-2024,Video,tag_2,partido140,match21,content10,46124,28,2,1,3316,31,0.5627,55.4626,0
******OwCP0,02-07-2024,Video,tag_2,partido140,match21,content10,53690,24,2,3,4127,29,0.486,81.8981,0
******QBUbo,02-07-2024,Short,tag_2,partido140,match21,content10,30205,62,2,1,2432,65,0.4519,16.7889,0
******EFPJw,02-07-2024,Short,tag_2,partido140,match21,content10,26451,104,1,3,4859,108,0.3696,25.4396,0
******6iDJc,02-07-2024,Video,tag_2,partido19,match21,content11,120406,82,4,16,10032,102,0.4801,445.5553,94.805
******sdBS8,02-07-2024,Video,tag_4,partido65,match18,content13,59560,32,3,0,5192,35,0.5936,99.3112,0
******KAVYE,02-07-2024,Short,tag_4,partido65,match18,content13,125102,327,6,20,16978,353,0.6956,137.7763,0
******YraVc,02-07-2024,Short,tag_2,partido140,match21,content13,22571,85,2,0,6140,87,0.6281,35.3501,0
******uVSf8,02-07-2024,Short,tag_2,partido140,match21,content13,13631,36,0,0,2984,36,0.4529,17.6452,0
******c7w_c,02-07-2024,Video,tag_2,partido19,match21,content14,42213,28,2,1,1672,31,0.5657,15.2385,0
******O79o8,02-07-2024,Short,tag_2,partido19,match21,content14,32479,61,1,2,4088,64,0.5244,17.2682,0
******XtTqk,02-07-2024,Video,tag_2,partido19,match21,content14,59694,32,1,0,3667,33,0.6293,51.2835,0
******CZoPM,02-07-2024,Short,tag_4,partido65,match18,content14,94271,180,8,18,11112,206,0.8467,44.43,0
******rNq0s,02-07-2024,Video,tag_4,partido65,match18,content14,51548,19,7,0,3782,26,0.5978,31.399,0
******yeZTg,02-07-2024,Video,tag_4,partido89,match18,content14,77371,37,7,0,5839,44,0.3571,283.2063,52.804
******PlA8k,02-07-2024,Video,tag_2,partido140,match21,content14,36619,14,1,1,1390,16,0.5994,14.3497,0
******S9iZ8,02-07-2024,Video,tag_2,partido140,match21,content14,31800,10,1,0,1843,11,0.6081,17.1218,0
******c3ACo,02-07-2024,Video,tag_2,partido19,match21,content15,114164,33,3,0,10573,36,0.2566,2390.0972,225.139
******kcpGM,02-07-2024,Video,tag_4,partido89,match18,content15,122289,80,21,0,7647,101,0.2048,1148.2083,59.676
******3rsk4,02-07-2024,Video,tag_4,Ninguno,Ninguno,content15,206467,159,93,19,24385,271,0.3467,4830.7454,470.008
******S5pV4,02-07-2024,Short,tag_2,partido140,match21,content23,44359,164,4,2,6857,170,0.8052,50.614,0
******hChZA,02-08-2024,Short,tag_1,partido7,match22,content2,62357,193,7,1,10763,201,69.43,70.5744,2.557
******VvVy8,02-08-2024,Short,tag_1,partido7,match22,content2,24308,124,2,1,7792,127,69.86,71.0686,1.912
******oo7ls,02-08-2024,Short,tag_10,Ninguno,Ninguno,content15,41560,219,4,3,4100,226,68.54,42.9328,0.978
******pMrr0,02-08-2024,Short,tag_10,Ninguno,Ninguno,content15,34799,63,1,1,3751,65,68.55,42.855,0.87
******b6Vys,02-08-2024,Short,tag_10,Ninguno,Ninguno,content15,15469,96,1,1,4395,98,59.29,41.2586,1.075
******Pj5_Y,02-08-2024,Short,Ninguno,Ninguno,Ninguno,content17,66724,111,0,1,6255,112,62.98,41.5846,1.479
******2wihI,03-06-2024,Video,tag_4,Ninguno,Ninguno,content4,46135,25,4,0,1934,29,0.5411,24.4188,0
******zYsWQ,03-06-2024,Video,tag_2,partido44,match4,content9,280753,210,11,25,23900,246,0.5615,1945.9934,172.965
******6MPpo,03-06-2024,Video,tag_2,partido57,match4,content9,2009736,1114,31,33,185851,"1,178",0.5383,21147.9341,1842.818
******H4ZjU,03-06-2024,Video,tag_2,partido76,match4,content9,408695,356,21,23,36221,400,0.5198,2834.5844,109.829
******nJ5YA,03-06-2024,Video,tag_4,partido94,match4,content15,64297,22,2,0,2253,24,0.4812,83.1109,0
******18oS8,03-06-2024,Video,tag_4,partido94,match4,content15,329880,200,54,8,29850,262,0.3745,7578.8817,358.18
******mMX0g,03-07-2023,Short,Ninguno,Ninguno,Ninguno,content5,19311,69,1,0,1568,70,73.01,15.8993,0.33
******w0FcY,03-07-2024,Short,tag_4,partido25,match18,content6,115743,471,28,11,28164,510,0.576,252.3413,0
******BQOr4,03-07-2024,Short,tag_4,partido25,match18,content6,260127,851,111,168,48794,"1,130",0.7822,572.5033,0
******cIRpo,03-07-2024,Short,tag_4,partido25,match18,content6,47361,360,61,21,24323,442,0.6101,230.8368,0
******Fd1NE,03-07-2024,Video,tag_4,partido25,match18,content6,47225,36,13,14,4059,63,0.6788,44.3902,0
******J_Obg,03-07-2024,Video,tag_4,partido25,match18,content6,411176,196,45,59,54076,300,0.512,1822.6525,532.317
******NN13E,03-07-2024,Video,tag_4,partido25,match18,content6,149687,82,68,163,18765,313,0.6323,477.885,140.355
******VbLzU,03-07-2024,Video,tag_4,partido25,match18,content9,4406038,3713,298,415,512648,"4,426",0.6246,61819.0946,10647.125
******keWpo,03-07-2024,Video,tag_4,partido41,match18,content9,1578509,1120,62,62,183221,"1,244",0.5668,20596.9899,3063.534
******NW5Qw,03-07-2024,Video,tag_4,partido25,match18,content10,173199,149,14,74,27652,237,0.7081,489.5286,209.392
******gBMu0,03-07-2024,Video,tag_4,partido25,match18,content10,154291,187,17,92,21913,296,0.6475,374.4148,171.146
******sQU5c,03-07-2024,Short,tag_4,partido25,match18,content10,40396,326,6,14,13038,346,0.7849,71.062,0
******9pkwI,03-07-2024,Short,tag_4,partido25,match18,content10,46423,145,2,6,7557,153,0.6281,40.8709,0
******jLP5M,03-07-2024,Video,tag_2,Ninguno,Ninguno,content10,156096,67,4,11,8598,82,0.4057,867.2747,131.14
******r3I54,03-07-2024,Video,tag_2,partido140,match21,content10,51159,18,1,0,2544,19,0.5935,21.3896,0
******SKBDY,03-07-2024,Video,tag_4,partido41,match18,content11,623087,329,28,30,64975,387,0.5584,3305.6091,659.952
******qwyLM,03-07-2024,Video,tag_4,partido25,match18,content14,73508,36,24,101,9090,161,0.7231,107.7237,78.909
******JI5n0,03-07-2024,Video,tag_4,partido25,match18,content14,44403,13,1,1,2871,15,0.614,22.0352,0
******52xVk,03-07-2024,Video,tag_4,Ninguno,Ninguno,content15,274970,179,94,7,29178,280,0.3458,6215.5147,681.313
******cXV50,03-07-2024,Video,tag_4,Ninguno,Ninguno,content15,102412,38,26,2,6046,66,0.4057,374.0706,70.299
******6dxn4,03-07-2024,Video,tag_4,Ninguno,Ninguno,content15,74986,35,2,0,3304,37,0.1167,260.9046,0
******fZU2w,03-07-2024,Short,tag_4,partido14,match18,content23,22976,381,6,1,15837,388,0.5618,148.299,0
******VmNG8,03-08-2024,Short,tag_10,Ninguno,Ninguno,content5,101221,390,17,23,8643,430,76.53,69.8209,2.097
******SLXlI,03-08-2024,Short,tag_10,Ninguno,Ninguno,content5,16380,38,1,1,3124,40,62.65,26.0977,0.744
******Q_Z2U,03-08-2024,Short,tag_10,Ninguno,Ninguno,content5,14664,96,0,1,6312,97,53.19,50.3597,1.552
******094dE,03-08-2024,Short,Ninguno,Ninguno,Ninguno,content6,52397,117,10,3,6952,130,68.50,43.6555,1.761
******sPdN0,03-08-2024,Short,tag_3,partido8,match4,content7,229247,798,33,14,56326,845,75.69,521.0567,13.989
******7HqHQ,03-08-2024,Short,tag_3,partido8,match4,content14,33824,146,3,2,9930,151,80.00,52.9598,2.521
******T7ceI,03-08-2024,Short,tag_5,partido129,match11,content14,24699,57,0,1,3287,58,54.26,20.3107,0.814
******lN7Ho,03-08-2024,Short,Ninguno,Ninguno,Ninguno,content15,49328,72,17,1,4373,90,57.95,40.8283,1.08
******BoxVc,03-08-2024,Short,tag_10,Ninguno,Ninguno,content15,9886,41,0,1,942,42,66.68,8.3751,0.226
******jfiNI,03-08-2024,Short,tag_10,Ninguno,Ninguno,content15,15851,31,0,1,1633,32,46.81,10.8285,0.375
******FtMMw,03-08-2024,Short,tag_10,Ninguno,Ninguno,content15,7915,67,1,1,2116,69,49.42,10.1671,0.522
******hqj4I,04-06-2024,Video,tag_2,partido76,match4,content9,700884,374,12,14,59440,400,0.5753,5148.2075,476.051
******fLHdY,04-06-2024,Video,tag_2,partido81,match4,content9,1068875,529,31,29,101452,589,0.6114,8821.1998,835.838
******jgPEg,04-06-2024,Video,tag_2,partido124,match4,content9,2665214,1763,104,118,277793,"1,985",0.5239,28540.8835,2858.515
******XCaEs,04-06-2024,Video,tag_2,partido162,match4,content9,265542,117,5,11,24769,133,0.5896,2847.7653,209.245
******V94r8,04-06-2024,Video,tag_2,partido124,match4,content10,38608,16,5,2,1815,23,0.3801,15.5217,0
******pfHJI,04-06-2024,Video,tag_2,partido124,match4,content10,45025,19,3,4,1897,26,0.4657,20.3681,0
******ADi3U,04-06-2024,Video,tag_4,partido94,match4,content15,251589,141,32,5,22707,178,0.3967,4296.7765,220.891
******AY-iA,04-06-2024,Video,tag_4,partido94,match4,content15,69695,77,8,2,6004,87,0.1171,239.2971,0
******gcM_Q,04-06-2024,Video,tag_4,Ninguno,Ninguno,content15,65673,21,8,2,2841,31,0.2997,231.5305,0
******cCguM,04-07-2023,Short,Ninguno,Ninguno,Ninguno,content5,81503,310,4,17,6786,331,134.45,40.5496,1.446
******352RA,04-07-2024,Video,tag_4,Ninguno,Ninguno,content4,114092,42,8,1,7048,51,0.2458,331.514,69.93
******EY3p4,04-07-2024,Video,tag_4,Ninguno,Ninguno,content5,169911,44,12,3,9172,59,0.2315,639.2184,96.281
******pXxOM,04-07-2024,Video,tag_4,Ninguno,Ninguno,content10,392527,99,4,7,28133,110,0.2572,2008.1575,351.38
******NeyYg,04-07-2024,Short,tag_4,Ninguno,Ninguno,content15,45805,182,3,6,7490,191,0.6048,75.4944,0
******hhf1s,04-07-2024,Video,tag_4,Ninguno,Ninguno,content15,96908,33,22,1,5741,56,0.3172,397.6428,51.721
******6AU3M,04-07-2024,Video,tag_4,partido13,match20,content16,69985,69,6,7,6066,82,0.0672,169.9315,0
******Q4_dg,04-07-2024,Short,tag_4,partido13,match20,content22,22161,82,13,5,3020,100,0.5655,27.9899,0
******evIWQ,04-07-2024,Short,tag_4,Ninguno,Ninguno,content23,17057,86,3,2,3090,91,0.459,23.6376,0
******M1jco,04-08-2024,Short,tag_3,partido100,match10,content2,82109,477,15,16,31559,508,50.95,263.5256,8.083
******wvHL8,04-08-2024,Short,tag_10,Ninguno,Ninguno,content5,30608,456,6,6,11393,468,71.65,86.17,2.882
******VVrr8,04-08-2024,Short,tag_7,partido90,match1,content6,47573,339,14,8,25037,361,82.71,253.1008,6.227
******AgjT8,04-08-2024,Short,tag_3,partido100,match10,content6,46418,67,1,0,4322,68,57.24,17.179,1.096
******2qNLs,04-08-2024,Short,tag_1,partido46,Ninguno,content10,129744,986,15,15,44114,"1,016",77.12,321.2971,10.944
******Hbrjw,04-08-2024,Short,tag_7,partido90,match1,content10,42606,90,2,0,7927,92,56.08,46.9224,1.989
******9hmls,04-08-2024,Short,tag_10,Ninguno,Ninguno,content15,17812,24,0,1,673,25,52.29,4.3991,0.168
******OKpVk,05-06-2024,Video,tag_4,partido94,match4,content7,215847,139,20,6,20469,165,0.3162,1691.6574,138.582
******WB-WQ,05-06-2024,Short,tag_4,Ninguno,Ninguno,content7,28686,92,4,0,3141,96,0.549,26.3461,0
******ivfz0,05-06-2024,Video,tag_2,partido21,match4,content9,783552,510,22,34,76681,566,0.6105,7113.4648,655.127
******iHLn4,05-06-2024,Video,tag_2,partido68,match4,content9,2712139,3592,95,290,327167,"3,977",0.5949,28382.9184,2151.751
******UQK2Q,05-06-2024,Video,tag_2,partido111,match4,content9,1063010,910,31,80,97093,"1,021",0.5681,7722.5788,678.322
******BWh6o,05-06-2024,Video,tag_2,partido154,match4,content9,1441133,1445,55,70,162091,"1,570",0.5836,15030.0451,1510.76
******J0BIU,05-06-2024,Video,tag_4,partido94,match4,content15,71249,31,13,3,4033,47,0.4432,97.8024,0
******ag21g,05-06-2024,Video,tag_4,partido94,match4,content15,328810,275,88,12,41654,375,0.3434,8971.4599,445.168
******TFJ_U,05-06-2024,Video,tag_4,Ninguno,Ninguno,content18,384553,294,74,28,25474,396,0.3738,2057.6888,189.841
******ljHiU,05-06-2024,Short,tag_4,Ninguno,Ninguno,content18,23879,86,2,1,5227,89,0.4125,26.3552,0
******cPM4w,05-06-2024,Short,tag_4,Ninguno,Ninguno,content18,17752,82,2,1,4666,85,0.4405,31.4006,0
******-yb3s,05-06-2024,Video,tag_4,Ninguno,Ninguno,content18,75461,22,9,1,2443,32,0.2914,110.7502,0
******Y2nB8,05-07-2023,Short,tag_1,partido77,Ninguno,content10,118919,343,5,23,7645,371,79.62,99.758,1.569
******DpNaA,05-07-2023,Short,tag_8,partido142,Ninguno,content12,15942,65,5,3,1274,73,68.67,14.5814,0.26
******YVkYM,05-07-2024,Short,tag_4,partido10,Ninguno,content2,137652,728,22,51,23169,801,75.81,263.4537,5.119
******YVkYM,05-07-2024,Short,tag_4,partido13,match20,content2,129173,699,22,50,22210,771,0.7598,253.1428,0
******nSr5s,05-07-2024,Short,tag_2,partido125,match20,content2,14682,41,1,0,1935,42,0.5241,14.0865,0
******E7qcw,05-07-2024,Video,tag_2,partido125,match20,content2,60303,30,1,3,6360,34,0.6452,85.4926,0
******uyczE,05-07-2024,Video,tag_2,partido125,match20,content2,40919,23,2,1,3076,26,0.5852,35.9992,0
******7kyqQ,05-07-2024,Video,tag_2,partido159,match20,content2,49545,79,4,3,6404,86,0.6138,67.6949,0
******B7n24,05-07-2024,Video,tag_2,partido159,match20,content2,38551,30,1,0,3344,31,0.6175,41.297,0
******DxGD4,05-07-2024,Video,tag_2,partido159,match20,content2,36203,19,1,1,2669,21,0.6037,28.1966,0
******8U6Vw,05-07-2024,Short,tag_2,partido159,match20,content2,17696,37,0,1,1853,38,0.6063,15.2927,0
******ziJ3U,05-07-2024,Short,tag_2,partido125,match20,content4,138322,239,18,8,6290,265,0.8013,44.8013,0
******p82Xw,05-07-2024,Short,tag_2,partido125,match20,content4,191394,1655,64,179,25384,"1,898",0.732,227.1065,0
******RCP-E,05-07-2024,Short,tag_2,partido159,match20,content4,62983,183,4,5,4200,192,0.7183,27.6563,0
******o2ypQ,05-07-2024,Short,tag_2,partido159,match20,content4,14372,81,3,0,1293,84,0.699,8.0343,0
******B50tI,05-07-2024,Short,Ninguno,Ninguno,Ninguno,content5,95228,1191,42,125,35889,"1,358",75.65,369.543,7.956
******oSRJg,05-07-2024,Short,tag_4,partido13,match20,content6,42884,106,3,1,7286,110,0.6642,69.8983,0
******egRW4,05-07-2024,Video,tag_4,partido13,match20,content6,170288,86,60,33,22516,179,0.491,829.0753,191.259
******giulw,05-07-2024,Short,tag_2,partido159,match20,content6,23865,79,9,3,4162,91,0.5894,32.0267,0
******VOBDA,05-07-2024,Short,tag_2,partido159,match20,content6,82570,299,55,68,17619,422,0.6877,188.4667,0
******1aaMM,05-07-2024,Video,tag_2,partido159,match20,content6,78428,89,68,304,12483,461,0.7798,191.9737,77.877
******JT1-g,05-07-2024,Video,tag_4,partido13,match20,content9,2287744,2394,241,297,278321,"2,932",0.6138,31080.8444,4510.042
******35ErI,05-07-2024,Video,tag_2,partido125,match20,content9,3689765,4427,400,537,546850,"5,364",0.6035,77279.3376,6857.664
******a2xnw,05-07-2024,Video,tag_2,partido159,match20,content9,5899478,5983,453,745,722976,"7,181",0.6018,122791.645,11392.436
******rcbog,05-07-2024,Video,tag_4,partido13,match20,content10,292222,309,76,61,45066,446,0.578,1787.3434,369.731
******1UC9E,05-07-2024,Video,tag_4,partido13,match20,content10,133300,108,14,34,19553,156,0.6672,250.0296,143.988
******Da3B4,05-07-2024,Short,tag_4,partido13,match20,content10,140679,404,29,27,18166,460,0.7298,198.8705,0
******5_AjE,05-07-2024,Short,tag_4,partido13,match20,content10,19581,119,3,6,8090,128,0.5027,56.488,0
******Da3B4,05-07-2024,Short,tag_1,partido54,Ninguno,content10,146226,417,31,28,18555,476,72.65,202.2145,4.085
******38NvM,05-07-2024,Video,tag_2,partido159,match20,content10,147666,165,11,18,24013,194,0.5952,464.492,173.678
******a9hOs,05-07-2024,Short,tag_2,partido159,match20,content10,53606,252,4,19,8755,275,0.6171,84.0387,0
******F9Gi0,05-07-2024,Short,tag_2,partido159,match20,content10,34450,108,1,1,4577,110,0.5306,35.0781,0
******EhHl4,05-07-2024,Video,tag_2,partido159,match20,content10,118079,136,10,18,19087,164,0.5953,372.4237,128.534
******5lOio,05-07-2024,Short,tag_2,partido159,match20,content10,30803,132,1,2,4535,135,0.5512,38.1924,0
******Bg4EU,05-07-2024,Video,tag_2,partido159,match20,content10,155067,231,43,100,25952,374,0.6538,589.1635,174.068
******LvDW8,05-07-2024,Video,tag_4,partido13,match20,content11,2263612,2952,412,766,328255,"4,130",0.6449,29634.8747,5007.441
******6IX3s,05-07-2024,Video,tag_4,partido13,match20,content11,73491,129,31,31,17679,191,0.599,1535.5392,190.487
******YmAeQ,05-07-2024,Short,tag_4,partido13,match20,content11,35467,137,2,2,5366,141,0.5273,47.1581,0
******WitYA,05-07-2024,Short,tag_4,partido13,match20,content11,99593,718,50,73,24310,841,0.7497,298.6941,0
******IHIWA,05-07-2024,Video,tag_4,partido13,match20,content11,396750,232,93,41,59611,366,0.5196,2409.0284,556.496
******GC0Uw,05-07-2024,Video,tag_2,partido125,match20,content11,1671531,1239,189,312,173891,"1,740",0.5775,16793.5027,1731.27
******GObdM,05-07-2024,Short,tag_2,partido125,match20,content13,17912,58,3,0,3927,61,0.5352,28.6059,0
******RMLBE,05-07-2024,Short,tag_2,partido159,match20,content13,23270,60,1,0,2777,61,0.6311,23.8527,0
******ZWM2Y,05-07-2024,Video,tag_2,partido159,match20,content13,348925,334,89,250,67579,673,0.539,2499.0654,514.288
******t6RW4,05-07-2024,Video,tag_4,partido13,match20,content14,71978,37,5,3,8516,45,0.5365,114.213,63.755
******3PgO4,05-07-2024,Video,tag_4,partido13,match20,content14,39596,13,0,2,2381,15,0.5454,20.1993,0
******LcIiY,05-07-2024,Video,tag_4,partido13,match20,content14,76210,31,2,7,10702,40,0.567,151.6927,68.862
******0RH8A,05-07-2024,Short,tag_4,partido13,match20,content14,42418,198,4,5,12095,207,0.4966,100.0973,0
******WG7EI,05-07-2024,Short,tag_4,partido13,match20,content14,36033,82,2,0,5545,84,0.5928,36.5242,0
******3iyzI,05-07-2024,Short,tag_2,partido125,match20,content14,26111,83,2,1,5293,86,0.4953,43.6939,0
******Ia4AM,05-07-2024,Short,tag_2,partido125,match20,content14,18303,34,0,1,1754,35,0.507,10.1284,0
******L0tUc,05-07-2024,Short,tag_2,partido125,match20,content14,58142,185,15,29,8882,229,0.6918,71.6906,0
******QTPWk,05-07-2024,Video,tag_2,partido125,match20,content14,170010,95,17,11,23759,123,0.6176,444.2975,168.756
******6oP7M,05-07-2024,Video,tag_2,partido125,match20,content14,89969,156,19,43,18566,218,0.5959,181.3139,114.582
******NKH-Q,05-07-2024,Short,tag_2,partido125,match20,content14,36171,113,1,2,4609,116,0.5636,41.1288,0
******4pu6A,05-07-2024,Video,tag_2,partido125,match20,content14,71521,54,11,8,11113,73,0.6432,113.1703,60.811
******aUhVs,05-07-2024,Short,tag_2,partido159,match20,content14,13617,45,1,0,1650,46,0.4562,10.8723,0
******IiBRI,05-07-2024,Video,tag_2,partido159,match20,content14,35122,57,1,3,3835,61,0.6074,36.2376,0
******BiSjM,05-07-2024,Video,tag_2,partido159,match20,content14,41218,21,2,1,3488,24,0.6088,41.2893,0
******jyMws,05-07-2024,Video,tag_4,partido13,match20,content15,65481,40,2,2,4770,44,0.058,181.1472,0
******ZN1A4,05-07-2024,Video,tag_4,partido13,match20,content15,93934,51,9,1,7584,61,0.2782,1292.2751,86.761
******xNJJ4,05-07-2024,Video,tag_4,partido13,match20,content16,159082,94,5,6,30104,105,0.0606,1120.1371,190.893
******uwGKM,05-07-2024,Short,tag_2,partido159,match20,content19,28376,66,1,0,3554,67,0.7283,26.6022,0
******hdo1c,05-07-2024,Short,tag_4,partido13,match20,content23,18049,143,3,18,5510,164,0.7388,39.5776,0
******wZfRE,05-07-2024,Short,tag_4,partido13,match20,content23,19332,106,5,3,4178,114,0.8989,22.952,0
******2KRMM,05-07-2024,Short,tag_4,partido13,match20,content23,73855,214,7,7,9415,228,0.8011,71.237,0
******LQKY4,05-07-2024,Short,tag_4,partido13,match20,content23,13010,116,1,1,3697,118,0.5654,27.2894,0
******6KJJg,05-07-2024,Short,tag_4,partido13,match20,content23,30462,137,5,9,4574,151,0.8183,58.2262,0
******B50tI,05-07-2024,Short,tag_4,partido13,match20,content23,89285,1169,42,121,35358,"1,332",0.7575,364.56,0
******CWTuo,05-07-2024,Short,tag_2,partido125,match20,content23,57465,220,1,3,8494,224,0.588,74.9152,0
******NF2fk,05-07-2024,Short,tag_2,partido125,match20,content23,98953,199,3,0,9268,202,0.6663,94.3431,0
******tNsJ8,05-08-2024,Short,tag_7,partido91,match1,content10,171037,1846,56,76,66887,"1,978",78.84,615.1899,16.564
******3CcLE,05-08-2024,Short,Ninguno,Ninguno,Ninguno,content10,50933,333,6,3,16974,342,82.14,104.5672,4.125
******z8xZk,05-08-2024,Short,tag_3,partido147,match12,content10,28691,99,0,0,5559,99,51.86,24.8246,1.336
******MHIkc,05-08-2024,Short,tag_3,partido147,match12,content10,84229,201,5,0,8770,206,56.37,67.2913,2.094
******_BqHI,05-08-2024,Short,tag_3,partido118,match10,content19,124209,423,2,3,41905,428,77.77,407.3616,10.436
******agU10,06-06-2024,Video,tag_4,Ninguno,Ninguno,content4,54170,32,7,3,1812,42,0.1757,47.5905,0
******gLbaE,06-06-2024,Short,tag_4,partido94,match4,content7,273802,1101,54,30,34723,"1,185",0.6832,375.5861,0
******OOv10,06-06-2024,Video,tag_4,partido94,match4,content7,94794,62,36,1,5981,99,0.4441,257.4728,0
******0tndE,06-06-2024,Short,tag_4,partido94,match4,content7,252086,696,102,16,30496,814,0.7384,356.5301,0
******1WFLk,06-06-2024,Short,tag_4,partido94,match4,content7,390398,670,53,37,26391,760,0.9846,274.2864,0
******3tL0I,06-06-2024,Short,tag_4,partido94,match4,content7,265975,529,291,20,35058,840,0.8874,466.6814,0
******eINS4,06-06-2024,Video,tag_4,Ninguno,Ninguno,content7,57982,21,8,2,2104,31,0.2116,64.3164,0
******j18Ac,06-06-2024,Video,tag_4,partido94,match4,content9,6210999,5997,2979,991,785870,"9,967",0.5408,104598.736,9188.3
******shjb8,06-06-2024,Video,tag_4,partido94,match4,content10,88460,54,27,25,10166,106,0.5801,147.4393,0
******JK6Ts,06-06-2024,Short,tag_4,partido94,match4,content10,25573,109,15,2,10014,126,0.7681,55.5509,0
******x-jS8,06-06-2024,Short,tag_4,partido94,match4,content10,39093,178,30,14,14894,222,0.914,86.9725,0
******qDTpQ,06-06-2024,Video,tag_4,partido94,match4,content10,93758,54,50,10,11332,114,0.5448,154.3365,0
******NumSU,06-06-2024,Video,tag_4,partido94,match4,content10,74564,47,33,12,6855,92,0.5432,94.1176,0
******2scr8,06-06-2024,Short,tag_4,partido94,match4,content10,48571,233,29,11,12954,273,1.0361,93.2067,0
******os9c4,06-06-2024,Video,tag_4,partido94,match4,content10,103800,59,68,13,11004,140,0.6297,150.1286,0
******-bcz8,06-06-2024,Short,tag_4,partido94,match4,content10,22665,148,35,3,12076,186,0.9805,72.3608,0
******wWmNI,06-06-2024,Video,tag_4,partido94,match4,content12,55448,22,8,10,2772,40,0.542,40.4803,0
******SQobA,06-06-2024,Video,tag_4,partido94,match4,content14,59977,28,6,3,4822,37,0.5423,44.3069,0
******pcIzE,06-06-2024,Short,tag_4,partido94,match4,content14,24190,110,5,2,5687,117,0.4749,36.0097,0
******FHBaQ,06-06-2024,Video,tag_4,partido94,match4,content15,1018924,1267,882,87,187088,"2,236",0.323,39131.0741,2159.747
******RXCo4,06-06-2024,Video,tag_4,Ninguno,Ninguno,content15,499444,390,193,30,50105,613,0.4622,4785.6418,398.937
******HK_YQ,06-06-2024,Short,tag_4,partido94,match4,content22,219951,1053,155,47,71231,"1,255",0.7527,685.104,0
******wJD8Q,06-06-2024,Short,tag_4,partido94,match4,content22,16231,70,0,1,3305,71,0.4507,18.2066,0
******eGAwE,06-06-2024,Short,tag_4,partido94,match4,content22,32455,196,14,8,7529,218,1.0195,34.1132,0
******RgAWA,06-06-2024,Short,tag_4,partido94,match4,content22,191519,810,108,82,52157,"1,000",0.7933,402.2783,0
******8xO1Y,06-06-2024,Short,tag_4,partido94,match4,content22,254730,833,373,657,33016,"1,863",0.9378,516.0386,0
******Ase4w,06-06-2024,Short,tag_4,partido94,match4,content22,34187,165,5,6,9376,176,0.5613,86.2564,0
******4oU2w,06-06-2024,Short,tag_4,partido94,match4,content23,452344,2441,131,44,115701,"2,616",1.0714,619.7968,0
******YBCDk,06-07-2024,Short,tag_4,partido38,match20,content2,26347,85,4,7,5649,96,0.5511,51.0179,0
******uZ5BQ,06-07-2024,Short,tag_2,partido61,match20,content2,15501,44,0,0,1557,44,0.4892,8.464,0
******611w0,06-07-2024,Video,tag_2,partido61,match20,content2,43046,26,1,1,5211,28,0.6388,58.2536,0
******91hcM,06-07-2024,Video,tag_2,partido109,match20,content2,54370,25,1,2,2583,28,0.5786,26.9827,0
******cTE2A,06-07-2024,Video,tag_2,partido109,match20,content2,32616,9,2,0,1210,11,0.574,8.2954,0
******Tvk2Y,06-07-2024,Short,tag_2,partido109,match20,content2,19702,48,0,0,1852,48,0.4962,10.7208,0
******bsRgM,06-07-2024,Video,tag_2,partido109,match20,content2,31833,17,2,0,1630,19,0.6194,13.7416,0
******t6tVA,06-07-2024,Video,tag_4,partido188,match20,content2,33516,10,5,0,1630,15,0.5895,14.6795,0
******lq1WY,06-07-2024,Video,tag_4,partido188,match20,content2,43269,11,0,0,2170,11,0.5908,17.4492,0
******7WeuM,06-07-2024,Video,tag_2,partido61,match20,content3,26910,15,1,0,1735,16,0.5943,14.034,0
******HIIl4,06-07-2024,Video,tag_2,partido61,match20,content3,31987,47,2,0,2945,49,0.599,24.0115,0
******5Zi7Y,06-07-2024,Short,tag_2,partido109,match20,content3,11482,27,0,0,1257,27,0.4896,5.9837,0
******sUASA,06-07-2024,Video,tag_2,partido61,match20,content9,1659975,1910,59,120,209731,"2,089",0.6006,22986.9315,1833.548
******8pnsA,06-07-2024,Video,tag_2,partido109,match20,content9,2247681,2129,82,137,262031,"2,348",0.6562,33337.2473,2863.019
******gWw5A,06-07-2024,Video,tag_4,partido188,match20,content9,3054996,3417,650,355,400964,"4,422",0.609,56368.0164,4013.19
